Sales,Profit,Order Year
261.96,41.9136,2016
731.94,219.582,2016
14.62,6.8714,2016
957.5775,-383.031,2015
22.368,2.5164,2015
48.86,14.1694,2018
7.28,1.9656,2018
907.152,90.7152,2018
18.504,5.7825,2018
114.9,34.47,2018
1706.184,85.3092,2018
911.424,68.3568,2018
15.552,5.4432,2017
407.976,132.5922,2016
68.81,-123.858,2015
2.544,-3.816,2015
665.88,13.3176,2014
55.5,9.99,2014
8.56,2.4824,2014
213.48,16.011,2014
22.72,7.384,2014
19.46,5.0596,2016
60.34,15.6884,2016
71.372,-1.0196,2017
1044.63,240.2649,2015
11.648,4.2224,2016
90.57,11.7741,2016
3083.43,-1665.0522,2018
9.618,-7.0532,2018
124.2,15.525,2018
3.264,1.1016,2018
86.304,9.7092,2018
6.858,-5.715,2018
15.76,3.546,2018
29.472,9.9468,2017
1097.544,123.4737,2016
190.92,-147.963,2016
113.328,35.415,2015
532.3992,-46.9764,2015
212.058,-15.147,2015
371.168,41.7564,2015
147.168,16.5564,2017
77.88,3.894,2016
95.616,9.5616,2017
45.98,19.7714,2016
17.46,8.2062,2016
211.96,8.4784,2014
45,4.95,2016
21.8,6.104,2016
38.22,17.9634,2015
75.18,35.3346,2015
6.16,2.9568,2015
89.99,17.0981,2015
15.26,6.2566,2016
1029.95,298.6855,2016
208.56,52.14,2016
32.4,15.552,2016
319.41,7.098,2016
14.56,6.9888,2016
30,3.3,2016
48.48,16.362,2016
1.68,0.84,2016
13.98,6.1512,2015
25.824,9.3612,2015
146.73,68.9631,2015
79.76,22.3328,2015
213.115,-15.2225,2015
1113.024,111.3024,2014
167.968,62.988,2014
75.88,35.6636,2016
4.616,1.731,2016
19.05,8.763,2017
831.936,-114.3912,2015
97.04,1.213,2015
72.784,-18.196,2015
1.248,-1.9344,2017
9.708,-5.8248,2017
27.24,2.724,2017
19.3,-14.475,2014
208.16,56.2032,2016
16.74,8.0352,2016
14.9,4.172,2014
21.39,6.2031,2014
200.984,62.8075,2015
230.376,-48.9549,2017
301.96,33.2156,2017
19.99,6.7966,2017
6.16,2.9568,2017
158.368,13.8572,2016
20.1,6.633,2016
73.584,8.2782,2016
6.48,3.1104,2016
12.96,6.2208,2015
53.34,16.5354,2015
32.96,16.1504,2015
5.682,-3.788,2017
96.53,40.5426,2017
51.312,17.9592,2017
77.88,22.5852,2016
64.624,22.6184,2016
95.976,-10.7973,2016
1.788,-3.0396,2016
23.92,11.7208,2016
238.896,-26.8758,2015
102.36,-3.8385,2015
36.882,-25.8174,2015
74.112,17.6016,2017
27.992,2.0994,2017
3.304,1.0738,2017
339.96,67.992,2015
41.96,10.9096,2017
75.96,22.788,2016
27.24,13.3476,2016
40.096,14.5348,2014
4.72,1.652,2014
23.976,7.4925,2014
130.464,44.0316,2014
787.53,165.3813,2015
157.794,-115.7156,2015
47.04,18.3456,2016
30.84,13.878,2016
226.56,63.4368,2016
115.02,51.759,2016
68.04,19.7316,2016
600.558,-8.5794,2014
617.7,-407.682,2014
2.388,-1.8308,2017
243.992,30.499,2017
81.424,-9.1602,2016
238.56,26.2416,2016
59.97,-11.994,2017
78.304,29.364,2017
21.456,6.9732,2017
20.04,9.6192,2016
35.44,16.6568,2016
11.52,3.456,2016
4.02,1.9698,2016
76.176,26.6616,2016
65.88,18.4464,2016
43.12,20.6976,2016
82.8,10.35,2016
8.82,2.3814,2017
10.86,5.1042,2017
143.7,68.976,2017
839.43,218.2518,2017
671.93,20.1579,2015
93.888,12.9096,2014
384.45,103.8015,2016
149.97,5.9988,2016
1951.84,585.552,2016
171.55,80.6285,2016
157.92,17.766,2016
203.184,15.2388,2016
58.38,26.271,2015
105.52,48.5392,2015
80.88,21.0288,2015
6.63,1.7901,2015
457.568,51.4764,2014
14.62,6.8714,2016
944.93,236.2325,2016
5.98,2.691,2016
54.384,1.3596,2015
28.4,13.348,2016
27.68,9.688,2016
9.936,2.7324,2014
8159.952,-1359.992,2014
275.928,-58.6347,2014
1740.06,-24.858,2014
32.064,6.8136,2014
177.98,-453.849,2014
143.976,8.9985,2014
20.94,9.8418,2014
110.96,53.2608,2014
340.144,21.259,2014
52.448,-131.12,2014
20.16,6.552,2014
97.264,-243.16,2017
396.802,-11.3372,2015
15.88,-3.7715,2015
3.28,1.4104,2015
24.816,1.8612,2014
408.744,76.6395,2014
503.96,131.0296,2014
149.95,41.986,2014
29,7.25,2014
7.16,3.4368,2016
176.8,22.984,2014
37.224,3.7224,2016
20.016,6.255,2016
899.136,112.392,2015
71.76,20.0928,2015
51.84,24.8832,2015
626.352,46.9764,2015
19.9,6.567,2015
14.28,6.7116,2015
7.408,1.2038,2014
6.048,1.5876,2014
46.26,12.0276,2017
2.946,-2.2586,2017
16.056,5.8203,2017
21.744,6.795,2017
218.75,-161.875,2014
2.6,0.2925,2014
66.284,-178.9668,2017
35.168,9.6712,2017
444.768,44.4768,2017
83.92,5.8744,2017
131.98,35.6346,2017
15.92,7.4824,2017
52.29,16.2099,2017
91.99,3.6796,2017
20.8,6.5,2015
23.68,8.88,2015
452.45,-244.323,2015
62.982,-14.6958,2015
1188,-950.4,2015
89.584,4.4792,2015
93.06,26.0568,2016
302.376,22.6782,2016
5.584,1.8148,2015
22.704,8.2302,2015
19.776,-13.8432,2015
72.704,19.0848,2015
479.988,-383.9904,2015
27.168,2.7168,2015
2.2,0.968,2015
622.45,136.939,2015
21.98,0.2198,2015
161.568,-28.2744,2015
389.696,43.8408,2015
18.648,-12.432,2014
233.86,-102.048,2017
620.6145,-248.2458,2017
5.328,-3.552,2017
258.072,0,2017
617.976,-7.7247,2017
10.56,4.752,2017
25.92,9.396,2016
419.68,-356.728,2016
11.688,-4.6752,2016
31.984,11.1944,2016
177.225,-120.513,2016
4.044,-2.8308,2016
7.408,1.2038,2016
2001.86,580.5394,2014
166.72,41.68,2014
47.88,23.94,2014
1503.25,496.0725,2014
25.92,12.4416,2014
321.568,28.1372,2016
7.61,3.5767,2016
3347.37,636.0003,2016
80.58,22.5624,2016
361.92,162.864,2016
12.132,-8.4924,2015
82.368,-19.5624,2018
53.92,4.044,2018
647.904,56.6916,2018
20.37,6.9258,2018
221.55,6.6465,2018
17.52,6.132,2018
1.624,-4.466,2018
3059.982,-509.997,2018
2519.958,-251.9958,2018
328.224,28.7196,2018
79.9,35.156,2018
14.016,4.7304,2018
7.56,0.3024,2018
37.208,-7.4416,2018
57.576,21.591,2018
725.84,210.4936,2018
209.93,92.3692,2018
5.28,2.3232,2018
10.92,4.095,2018
8.82,4.0572,2018
5.98,1.5548,2018
11.648,4.0768,2018
18.176,5.9072,2018
59.712,5.9712,2018
24.84,8.694,2018
2.08,-3.432,2018
1114.4,376.11,2018
1038.84,51.942,2018
141.76,47.844,2018
239.8,47.96,2018
31.104,10.8864,2018
254.058,-169.372,2018
194.528,24.316,2018
961.48,-204.3145,2018
19.096,6.6836,2018
18.496,6.2424,2018
255.984,54.3966,2018
86.97,-48.7032,2018
300.416,78.8592,2018
230.352,20.1558,2018
218.352,-24.5646,2018
78.6,-62.88,2018
27.552,9.2988,2018
32.4,15.552,2018
1082.48,10.8248,2018
56.91,27.3168,2018
77.6,38.024,2018
14.28,6.5688,2018
219.075,-131.445,2018
26.8,12.864,2018
9.84,2.8536,2018
45.48,20.9208,2018
289.2,83.868,2018
4.89,2.0049,2018
15.136,3.5948,2018
466.768,52.5114,2018
15.232,1.7136,2018
6.264,2.0358,2018
87.54,37.6422,2018
178.384,22.298,2018
15.552,5.4432,2018
99.136,8.6744,2018
135.882,24.1568,2018
3991.98,1995.99,2018
275.94,80.0226,2018
360,129.6,2018
43.57,13.071,2018
7.16,3.58,2018
251.52,81.744,2018
99.99,34.9965,2018
15.992,0.9995,2018
290.898,-67.8762,2018
54.224,3.389,2018
786.744,-258.5016,2018
100.24,33.831,2018
37.764,-27.6936,2018
82.8,-20.7,2018
20.724,-13.816,2018
4.896,-3.4272,2018
4.752,1.6038,2018
959.984,335.9944,2018
14.368,4.49,2018
7.712,2.7956,2018
698.352,-17.4588,2018
4.96,2.3312,2018
17.856,1.116,2018
509.97,-407.976,2018
30.992,10.0724,2018
71.928,8.3916,2018
88.8,-2.22,2018
47.976,4.7976,2018
7.56,3.0996,2018
24.56,11.5432,2018
12.96,4.1472,2018
6.79,2.3086,2018
24.56,11.5432,2018
3.048,1.0668,2018
49.12,23.0864,2018
4355.168,1415.4296,2018
388.704,-4.8588,2018
8.26,3.7996,2018
17.04,6.9864,2018
34.4,15.824,2018
36.24,11.325,2018
647.84,168.4384,2018
20.7,9.936,2018
20.7,9.936,2018
488.646,86.8704,2018
5.56,1.4456,2018
47.12,20.7328,2018
211.96,8.4784,2018
23.2,10.44,2018
7.36,0.1472,2018
104.79,29.3412,2018
1043.92,271.4192,2018
25.92,9.396,2018
53.424,4.6746,2018
8.16,-5.712,2018
1023.936,179.1888,2018
9.24,0.924,2018
479.04,-29.94,2018
99.136,30.98,2018
1488.424,-297.6848,2018
8.652,-20.3322,2018
23.832,2.6811,2018
12.176,-18.8728,2018
50.96,25.48,2018
